0.53465	0.16236	0.10809	0.05297
0.56207	0.16212	0.09744	0.04741
0.54968	0.16099	0.10316	0.05077
0.57390	0.16305	0.09460	0.04559
0.56283	0.16524	0.09681	0.04715
0.53804	0.16567	0.10647	0.05174
0.55529	0.16305	0.10403	0.05072
0.56899	0.16295	0.09490	0.04607
0.56331	0.16292	0.09902	0.04824
0.54680	0.16205	0.10228	0.05028
0.54168	0.16408	0.10323	0.05042
0.54800	0.16294	0.10251	0.05011
0.55351	0.16539	0.10109	0.04882
0.54322	0.16409	0.10588	0.05164
0.56725	0.16479	0.09632	0.04682
0.56688	0.16045	0.09812	0.04833
0.53351	0.16558	0.10812	0.05257
0.54684	0.16046	0.10369	0.05113
0.53546	0.15737	0.10626	0.05308
0.57006	0.16413	0.09538	0.04611
0.54562	0.16524	0.10152	0.04919
0.56479	0.16508	0.09685	0.04667
0.57582	0.16412	0.09520	0.04595
0.57498	0.16394	0.09203	0.04469
0.54692	0.16374	0.10090	0.04947
0.56054	0.16609	0.09824	0.04726
0.53564	0.16102	0.10582	0.05228
0.56919	0.16773	0.09929	0.04724
0.55074	0.16100	0.10381	0.05117
0.54338	0.16411	0.10649	0.05200
0.53740	0.16326	0.10881	0.05302
0.52207	0.15650	0.11352	0.05714
0.53323	0.16693	0.10716	0.05165
0.55384	0.16461	0.10271	0.04968
0.60403	0.16777	0.08614	0.04006
0.55809	0.16173	0.09813	0.04826
0.55072	0.16818	0.10069	0.04842
0.55168	0.16154	0.10271	0.05045
0.52750	0.16025	0.11066	0.05519
0.56833	0.15931	0.10044	0.04938
0.54555	0.16091	0.10556	0.05187
0.53496	0.15828	0.10922	0.05422
0.55381	0.16700	0.09986	0.04795
0.54646	0.16348	0.10328	0.05052
0.54961	0.16751	0.10182	0.04894
0.58173	0.16651	0.09360	0.04453
0.55511	0.16558	0.10005	0.04849
0.53886	0.16428	0.10352	0.05065
0.54201	0.16077	0.10637	0.05250
0.54438	0.16243	0.10276	0.05078
0.55205	0.16125	0.10476	0.05143
0.58047	0.16246	0.09282	0.04504
0.54149	0.15994	0.10616	0.05240
0.56250	0.16689	0.09654	0.04610
0.56030	0.16204	0.10076	0.04935
0.54217	0.16423	0.10490	0.05107
0.55430	0.16722	0.10331	0.04941
0.54150	0.15935	0.10759	0.05326
0.55193	0.16619	0.10249	0.04934
0.54790	0.16325	0.10238	0.04992
0.57000	0.16261	0.09647	0.04676
0.56956	0.16427	0.09659	0.04634
0.55433	0.16295	0.09914	0.04829
0.56873	0.16044	0.09892	0.04884
0.54619	0.16334	0.10799	0.05259
0.54905	0.16160	0.10495	0.05136
0.54533	0.16290	0.10570	0.05151
0.54454	0.16137	0.10218	0.05046
0.56733	0.16459	0.09608	0.04634
0.55474	0.16722	0.10179	0.04874
0.55419	0.16074	0.10040	0.04971
0.56297	0.16051	0.09880	0.04871
0.54991	0.15932	0.10439	0.05173
0.56434	0.16587	0.09965	0.04783
0.51138	0.16284	0.11502	0.05632
0.54631	0.15955	0.10409	0.05147
0.53088	0.15981	0.10564	0.05255
0.56002	0.16207	0.09733	0.04770
0.52932	0.16207	0.10925	0.05349
0.55645	0.16470	0.10159	0.04922
0.57399	0.16720	0.09569	0.04564
0.55515	0.16438	0.10096	0.04923
0.55577	0.16231	0.09844	0.04814
0.56484	0.16289	0.09780	0.04804
0.56484	0.16930	0.09406	0.04446
0.56050	0.16544	0.09735	0.04725
0.55596	0.16076	0.10294	0.05044
0.56674	0.16632	0.09877	0.04748
0.56918	0.16731	0.09678	0.04615
0.55457	0.16550	0.10043	0.04865
0.56815	0.16136	0.10041	0.04902
0.58211	0.16885	0.09597	0.04485
0.55330	0.16315	0.09973	0.04877
0.55649	0.16311	0.10300	0.05013
0.55373	0.16690	0.10136	0.04862
0.56197	0.16486	0.09688	0.04675
0.55665	0.16016	0.09993	0.04914
0.54044	0.16372	0.10583	0.05184
0.53217	0.16308	0.10879	0.05324
0.56925	0.16674	0.09670	0.04617
